ds,y
30/04/2004,11.4
1/5/2004,11.875
2/5/2004,11.75416667
3/5/2004,15.04583333
4/5/2004,12.9875
5/5/2004,12.37083333
6/5/2004,12.3
7/5/2004,11.97083333
8/5/2004,12.2625
9/5/2004,12.23333333
10/5/2004,12.925
11/5/2004,15.76666667
12/5/2004,16.37083333
13/05/2004,17.65833333
14/05/2004,18.4375
15/05/2004,20.32083333
16/05/2004,21.56666667
17/05/2004,22.0875
18/05/2004,22.85
19/05/2004,24.14583333
20/05/2004,23.90833333
21/05/2004,19.52916667
22/05/2004,18.48333333
23/05/2004,18.5875
24/05/2004,16.84166667
25/05/2004,16.56666667
26/05/2004,16.3875
27/05/2004,16.28333333
28/05/2004,17.65416667
29/05/2004,18.725
30/05/2004,18.18333333
31/05/2004,18.25833333
1/6/2004,20.45833333
2/6/2004,22.74166667
3/6/2004,26.51666667
4/6/2004,25.30416667
5/6/2004,18.7875
6/6/2004,18.75
7/6/2004,19.00833333
8/6/2004,20.7
9/6/2004,22.26666667
10/6/2004,21.5375
11/6/2004,20.8375
12/6/2004,22.7375
13/06/2004,25.28333333
14/06/2004,26.67916667
15/06/2004,25.125
16/06/2004,25.65833333
17/06/2004,24.34166667
18/06/2004,19.9125
19/06/2004,18.2375
20/06/2004,18.975
21/06/2004,19.77083333
22/06/2004,20.35
23/06/2004,21.24166667
24/06/2004,21.2
25/06/2004,21.18333333
26/06/2004,21.72083333
27/06/2004,22.64166667
28/06/2004,24.11666667
29/06/2004,23.13333333
30/06/2004,20.425
1/7/2004,19.49583333
2/7/2004,20.34166667
3/7/2004,20.5375
4/7/2004,20.64166667
5/7/2004,20.12916667
6/7/2004,18.5125
7/7/2004,17.04166667
8/7/2004,17.4
9/7/2004,18.23333333
10/7/2004,19.5125
11/7/2004,21.05833333
12/7/2004,22.77083333
13/07/2004,24.86666667
14/07/2004,27.06666667
15/07/2004,25.375
16/07/2004,21.90416667
17/07/2004,20.32083333
18/07/2004,20.55833333
19/07/2004,20.55833333
20/07/2004,20.73333333
21/07/2004,21.56666667
22/07/2004,20.725
23/07/2004,24.675
24/07/2004,27.13333333
25/07/2004,25.6375
26/07/2004,25.05416667
27/07/2004,23.2875
28/07/2004,20.29583333
29/07/2004,21.29166667
30/07/2004,22.7125
31/07/2004,23.35416667
1/8/2004,23.41666667
2/8/2004,21.55833333
3/8/2004,21.24583333
4/8/2004,20.45
5/8/2004,21.70833333
6/8/2004,22.10833333
7/8/2004,22.09583333
8/8/2004,20.9375
9/8/2004,19.2125
10/8/2004,19.65416667
11/8/2004,20.525
12/8/2004,20.12083333
13/08/2004,20.02083333
14/08/2004,21.74166667
15/08/2004,21.4
16/08/2004,21.83333333
17/08/2004,20.55416667
18/08/2004,20.7375
19/08/2004,19.78333333
20/08/2004,19.15416667
21/08/2004,19.4125
22/08/2004,20.32083333
23/08/2004,19.65833333
24/08/2004,19.76666667
25/08/2004,19.96666667
26/08/2004,20.65
27/08/2004,20.25833333
28/08/2004,19.74583333
29/08/2004,20
30/08/2004,19.6125
31/08/2004,18.97916667
1/9/2004,18.7375
2/9/2004,20.2125
3/9/2004,21.275
4/9/2004,22.18333333
5/9/2004,20.15833333
6/9/2004,20.47083333
7/9/2004,20.5375
8/9/2004,20.9125
9/9/2004,20.70416667
10/9/2004,21.11666667
11/9/2004,20.42916667
12/9/2004,19.1
13/09/2004,18.575
14/09/2004,18.8125
15/09/2004,19.61666667
16/09/2004,21.02083333
17/09/2004,20.825
18/09/2004,19.20833333
19/09/2004,19.6875
20/09/2004,21.00416667
21/09/2004,23.04166667
22/09/2004,24.7
23/09/2004,27.10416667
24/09/2004,22.83333333
25/09/2004,23.07083333
26/09/2004,23.57916667
27/09/2004,24.61666667
28/09/2004,22.5875
29/09/2004,19.49583333
30/09/2004,19.125
1/10/2004,17.82083333
2/10/2004,18.15833333
3/10/2004,18.62083333
4/10/2004,18.3625
5/10/2004,18.90416667
6/10/2004,19.31666667
7/10/2004,20.08333333
8/10/2004,19.68333333
9/10/2004,15.59166667
10/10/2004,15.425
11/10/2004,15.59583333
12/10/2004,15.04583333
13/10/2004,14.175
14/10/2004,14.5
15/10/2004,14.76666667
16/10/2004,15.225
17/10/2004,15.21666667
18/10/2004,15.875
19/10/2004,18.3
20/10/2004,18.00416667
21/10/2004,15.3375
22/10/2004,15.64583333
23/10/2004,17.53333333
24/10/2004,16.8125
25/10/2004,13.9375
26/10/2004,14.02916667
27/10/2004,15.69166667
28/10/2004,13.74166667
29/10/2004,13.23333333
30/10/2004,13.15
31/10/2004,14.57916667
1/11/2004,12.6125
2/11/2004,12.8125
3/11/2004,14.9625
4/11/2004,13.9875
5/11/2004,15.87083333
6/11/2004,15.8375
7/11/2004,14.90416667
8/11/2004,14.175
9/11/2004,13.4375
10/11/2004,12.2375
11/11/2004,11.27916667
12/11/2004,10.90416667
13/11/2004,10.4875
14/11/2004,10.12083333
15/11/2004,9.25
16/11/2004,9.804166667
17/11/2004,9.8625
18/11/2004,8.616666667
19/11/2004,9
20/11/2004,9.529166667
21/11/2004,10.09583333
22/11/2004,9.929166667
23/11/2004,9.408333333
24/11/2004,9.366666667
25/11/2004,10.05
26/11/2004,10.15416667
27/11/2004,11.9125
28/11/2004,14.03333333
29/11/2004,14.39166667
30/11/2004,14.12083333
1/12/2004,10.34583333
2/12/2004,9.925
3/12/2004,9.241666667
4/12/2004,9.3625
5/12/2004,9.116666667
6/12/2004,8.570833333
7/12/2004,6.966666667
8/12/2004,6.370833333
9/12/2004,7.391666667
10/12/2004,7.179166667
11/12/2004,10.02083333
12/12/2004,11.84583333
13/12/2004,13.3875
14/12/2004,11.24166667
15/12/2004,10.24166667
16/12/2004,10.25416667
17/12/2004,10.7625
18/12/2004,12.37916667
19/12/2004,12.31666667
20/12/2004,10.65416667
21/12/2004,9.029166667
22/12/2004,7.7125
23/12/2004,7.558333333
24/12/2004,7.9375
25/12/2004,8.879166667
26/12/2004,7.15
27/12/2004,6.970833333
28/12/2004,8.1
29/12/2004,8.883333333
30/12/2004,8.808333333
31/12/2004,9.204166667
1/1/2005,7.75
2/1/2005,8.270833333
3/1/2005,8.329166667
4/1/2005,7.570833333
5/1/2005,6.754166667
6/1/2005,6.75
7/1/2005,7.520833333
8/1/2005,7.058333333
9/1/2005,6.170833333
10/1/2005,8.354166667
11/1/2005,9.5125
12/1/2005,11.09166667
13/01/2005,11.39583333
14/01/2005,11.9875
15/01/2005,11.8125
16/01/2005,10.9875
17/01/2005,8.941666667
18/01/2005,9.616666667
19/01/2005,9.625
20/01/2005,10.34583333
21/01/2005,9.45
22/01/2005,8.579166667
